station,window_scale,start_idx,end_idx,start_time,end_time,pc1,pc2
1500008,12,0,11,2025-01-01 00:00:00,2025-01-01 11:00:00,-1.2871847100580989,0.6709811001821839
1500008,12,12,23,2025-01-01 12:00:00,2025-01-01 23:00:00,-1.2794582764940396,0.6636517573611208
1500008,12,24,35,2025-01-02 00:00:00,2025-01-02 11:00:00,-1.2870297137215467,0.6706284769702593
1500008,12,36,47,2025-01-02 12:00:00,2025-01-02 23:00:00,-1.2220050135781084,0.6035804170690034
1500008,12,48,59,2025-01-03 00:00:00,2025-01-03 11:00:00,-1.280618914372644,0.6652906752949188
1500008,12,60,71,2025-01-03 12:00:00,2025-01-03 23:00:00,-1.2127123028132454,0.5955759828718509
1500008,12,72,83,2025-01-04 00:00:00,2025-01-04 11:00:00,-1.2665511490439467,0.6515486229016352
1500008,12,84,95,2025-01-04 12:00:00,2025-01-04 23:00:00,-1.2637787798325233,0.6489960685877056
1500008,12,96,107,2025-01-05 00:00:00,2025-01-05 11:00:00,-1.2800007636719721,0.6648859386028569
1500008,12,108,119,2025-01-05 12:00:00,2025-01-05 23:00:00,-1.2765250013025098,0.6619354796948929
1500008,12,120,131,2025-01-06 00:00:00,2025-01-06 11:00:00,-1.2884246807505157,0.6738020858775807
1500008,12,132,143,2025-01-06 12:00:00,2025-01-06 23:00:00,-1.276757495807338,0.6624644145127797
1500008,12,144,155,2025-01-07 00:00:00,2025-01-07 11:00:00,-1.266741551132845,0.6503606464105889
1500008,12,156,167,2025-01-07 12:00:00,2025-01-07 23:00:00,-1.2792257819892114,0.663122822543234
1500008,12,168,179,2025-01-08 00:00:00,2025-01-08 11:00:00,-1.2918142862755537,0.6755155682503471
1500008,12,180,191,2025-01-08 12:00:00,2025-01-08 23:00:00,-1.2789932874843835,0.662593887725347
1500008,12,192,203,2025-01-09 00:00:00,2025-01-09 11:00:00,-1.2852339565313016,0.6682803380734746
1500008,12,204,215,2025-01-09 12:00:00,2025-01-09 23:00:00,-1.2856989455409578,0.6693382077092485
1500008,12,216,227,2025-01-10 00:00:00,2025-01-10 11:00:00,-1.2856171132535217,0.668727162996724
1500008,12,228,239,2025-01-10 12:00:00,2025-01-10 23:00:00,-1.2558414896141181,0.6387702163670967
1500008,12,240,251,2025-01-11 00:00:00,2025-01-11 11:00:00,-1.310090384395906,0.6944528520084605
1500008,12,252,263,2025-01-11 12:00:00,2025-01-11 23:00:00,-1.2350752580181341,0.6181001249078052
1500008,12,264,275,2025-01-12 00:00:00,2025-01-12 11:00:00,-1.2898116578369714,0.6746250677295877
1500008,12,276,287,2025-01-12 12:00:00,2025-01-12 23:00:00,-1.2650315923428885,0.6501095497962328
1500008,12,288,299,2025-01-13 00:00:00,2025-01-13 11:00:00,-1.2740574841188173,0.6586009510664904
1500008,12,300,311,2025-01-13 12:00:00,2025-01-13 23:00:00,-1.2846500596605575,0.6701579755411899
1500008,12,312,323,2025-01-14 00:00:00,2025-01-14 11:00:00,-1.2870120802824907,0.6719007719040454
1500008,12,324,335,2025-01-14 12:00:00,2025-01-14 23:00:00,-1.2780304828794127,0.6632642905060326
1500008,12,336,347,2025-01-15 00:00:00,2025-01-15 11:00:00,-1.2881146880774115,0.6730968394537314
1500008,12,348,359,2025-01-15 12:00:00,2025-01-15 23:00:00,-1.2813938960554045,0.6670537913545419
1500008,12,360,371,2025-01-16 00:00:00,2025-01-16 11:00:00,-1.3119503404345314,0.6986843305515558
1500008,12,372,383,2025-01-16 12:00:00,2025-01-16 23:00:00,-1.2721623917977114,0.6585394721254416
1500008,12,384,395,2025-01-17 00:00:00,2025-01-17 11:00:00,-1.2939842349872834,0.6804522932172915
1500008,12,396,407,2025-01-17 12:00:00,2025-01-17 23:00:00,-1.2719298972928832,0.6580105373075547
1500008,12,408,419,2025-01-18 00:00:00,2025-01-18 11:00:00,-1.2881745528066315,0.67454544599348
1500008,12,420,431,2025-01-18 12:00:00,2025-01-18 23:00:00,-1.2315088978394093,0.6162981730331053
1500008,12,432,443,2025-01-19 00:00:00,2025-01-19 11:00:00,-1.2551437099912663,0.6415809030511275
1500008,12,444,455,2025-01-19 12:00:00,2025-01-19 23:00:00,-1.1907935691087739,0.5768606087827773
1500008,12,456,467,2025-01-20 00:00:00,2025-01-20 11:00:00,-1.2803817629857586,0.6698239206267834
1500008,12,468,479,2025-01-20 12:00:00,2025-01-20 23:00:00,-1.2548673564266328,0.6445914556675677
1500008,12,480,491,2025-01-21 00:00:00,2025-01-21 11:00:00,-1.239294072608392,0.6266046217398319
1500008,12,492,503,2025-01-21 12:00:00,2025-01-21 23:00:00,-1.2707133066596037,0.6603287318457344
1500008,12,504,515,2025-01-22 00:00:00,2025-01-22 11:00:00,-1.2616410858088984,0.6490643594647214
1500008,12,516,527,2025-01-22 12:00:00,2025-01-22 23:00:00,-1.2727326392549478,0.6610932217154579
1500008,12,528,539,2025-01-23 00:00:00,2025-01-23 11:00:00,-1.2717845451911496,0.6596756487654686
1500008,12,540,551,2025-01-23 12:00:00,2025-01-23 23:00:00,-1.2832556867395664,0.6722910260532735
1500008,12,552,563,2025-01-24 00:00:00,2025-01-24 11:00:00,-1.314275285482813,0.7039736787304248
1500008,12,564,575,2025-01-24 12:00:00,2025-01-24 23:00:00,-1.2730245158835665,0.6624966344608655
1500008,12,576,587,2025-01-25 00:00:00,2025-01-25 11:00:00,-1.2906544941914653,0.6801874173842735
1500008,12,588,599,2025-01-25 12:00:00,2025-01-25 23:00:00,-1.2802449133797604,0.6703984367810832
1500008,12,600,611,2025-01-26 00:00:00,2025-01-26 11:00:00,-1.2903488356375212,0.6799169040669865
1500008,12,612,623,2025-01-26 12:00:00,2025-01-26 23:00:00,-1.2885249680743602,0.678973555839305
1500008,12,624,635,2025-01-27 00:00:00,2025-01-27 11:00:00,-1.2921445928277664,0.6822650429637711
1500008,12,636,647,2025-01-27 12:00:00,2025-01-27 23:00:00,-1.2885249680743602,0.678973555839305
1500008,12,648,659,2025-01-28 00:00:00,2025-01-28 11:00:00,-1.2921445928277664,0.6822650429637711
1500008,12,660,671,2025-01-28 12:00:00,2025-01-28 23:00:00,-1.2869431458208438,0.6779476605297237
1500008,12,672,683,2025-01-29 00:00:00,2025-01-29 11:00:00,-1.2946940424383628,0.6857326989052126
1500008,12,684,695,2025-01-29 12:00:00,2025-01-29 23:00:00,-1.2816398804087294,0.6735720456884047
1500008,12,696,707,2025-01-30 00:00:00,2025-01-30 11:00:00,-1.2983241324107424,0.6903257431511803
1500008,12,708,719,2025-01-30 12:00:00,2025-01-30 23:00:00,-1.2472325065185856,0.6385525430792148
1500008,12,720,731,2025-01-31 00:00:00,2025-01-31 11:00:00,-1.2940045488663918,0.6864965215068664
1500008,12,732,743,2025-01-31 12:00:00,2025-01-31 23:00:00,-1.2710764494684208,0.6638618550612922
2BS5Z3V,12,0,11,2025-01-14 17:00:00,2025-01-15 04:00:00,4.217193126605572,-4.180365535719725
2FRXYUC,12,0,11,2025-01-21 21:00:00,2025-01-22 08:00:00,8.704889863150903,-3.8770591739358906
3HPZXMS,12,0,11,2025-01-13 01:00:00,2025-01-13 12:00:00,4.634346791500834,-5.207373444216175
4101871,12,0,11,2025-01-17 17:00:00,2025-01-18 04:00:00,-0.8375057597134049,0.14765384308740193
4101871,12,12,23,2025-01-18 05:00:00,2025-01-18 16:00:00,-0.8276647127304878,0.13772079716961588
4101871,12,24,35,2025-01-18 17:00:00,2025-01-19 04:00:00,-0.8635084610975177,0.17557770864447803
4101871,12,36,47,2025-01-19 05:00:00,2025-01-19 16:00:00,-0.8661422088086195,0.17813897264943737
4101871,12,48,59,2025-01-19 17:00:00,2025-01-20 04:00:00,-0.8888897120809136,0.20130480635246964
4101871,12,60,71,2025-01-20 05:00:00,2025-01-20 16:00:00,-0.84935733003252,0.15861018645722863
4101871,12,72,83,2025-01-20 17:00:00,2025-01-21 04:00:00,-0.8710864585330267,0.18186565091466592
4101871,12,84,95,2025-01-21 05:00:00,2025-01-21 16:00:00,-0.8740324700327293,0.18689393705277516
4101871,12,96,107,2025-01-21 17:00:00,2025-01-22 04:00:00,-0.8660800325116975,0.1772905516179922
4101871,12,108,119,2025-01-22 05:00:00,2025-01-22 16:00:00,-0.8288512108669162,0.13931109803362463
4101871,12,120,131,2025-01-22 17:00:00,2025-01-23 04:00:00,-0.9056855231869729,0.21973050299411653
4101871,12,132,143,2025-01-23 05:00:00,2025-01-23 16:00:00,-0.6724721025519171,-0.027319503681206784
4101871,12,144,155,2025-01-23 17:00:00,2025-01-24 04:00:00,-0.8277705184027692,0.137719548260849
4101871,12,156,167,2025-01-24 05:00:00,2025-01-24 16:00:00,-0.728714593539786,0.034340337803047696
4101871,12,168,179,2025-01-24 17:00:00,2025-01-25 04:00:00,-0.8749877104196061,0.18860831396058708
4101871,12,180,191,2025-01-25 05:00:00,2025-01-25 16:00:00,-0.7866852600559002,0.09514108725592053
4101871,12,192,203,2025-01-25 17:00:00,2025-01-26 04:00:00,-0.8537081861200596,0.16613196941417754
4101871,12,204,215,2025-01-26 05:00:00,2025-01-26 16:00:00,-0.7981494978222902,0.10831505818434842
4101871,12,216,227,2025-01-26 17:00:00,2025-01-27 04:00:00,-0.8386037067258342,0.15016598569819847
4101871,12,228,239,2025-01-27 05:00:00,2025-01-27 16:00:00,-0.7401202020721586,0.04766433923164135
4101871,12,240,251,2025-01-27 17:00:00,2025-01-28 04:00:00,-0.8428134687353822,0.15638920699481781
4101871,12,252,263,2025-01-28 05:00:00,2025-01-28 16:00:00,-0.7524304783376479,0.06241657707936061
4101871,12,264,275,2025-01-28 17:00:00,2025-01-29 04:00:00,-0.8482013193367817,0.16336476322798896
4101871,12,276,287,2025-01-29 05:00:00,2025-01-29 16:00:00,-0.7942357977402894,0.10499135213662561
4101871,12,288,299,2025-01-29 17:00:00,2025-01-30 04:00:00,-0.866618821064064,0.1814606902708046
4101871,12,300,311,2025-01-30 05:00:00,2025-01-30 16:00:00,-0.849077471816194,0.16225803363335684
4101871,12,312,323,2025-01-30 17:00:00,2025-01-31 04:00:00,-0.8560042509780379,0.16988052801708625
4101871,12,324,335,2025-01-31 05:00:00,2025-01-31 16:00:00,-0.898725696962734,0.2148700871337656
4101872,12,0,11,2025-01-12 08:00:00,2025-01-12 19:00:00,-0.6679604112287197,-0.03527607726533897
4101872,12,12,23,2025-01-12 20:00:00,2025-01-13 07:00:00,-0.90202485987585,0.21213229502135614
4101872,12,24,35,2025-01-13 08:00:00,2025-01-13 19:00:00,-0.7821934287405451,0.08461066490355397
4101872,12,36,47,2025-01-13 20:00:00,2025-01-14 07:00:00,-0.8869763263050066,0.19573698117645394
4101872,12,48,59,2025-01-14 08:00:00,2025-01-14 19:00:00,-0.8761052215281847,0.1835494617056611
4101872,12,60,71,2025-01-14 20:00:00,2025-01-15 07:00:00,-0.941800516816273,0.2534930483056833
4101872,12,72,83,2025-01-15 08:00:00,2025-01-15 19:00:00,-0.8320255692171064,0.13640281741261365
4101872,12,84,95,2025-01-15 20:00:00,2025-01-16 07:00:00,-0.9110481730522177,0.21997700042958246
4101872,12,96,107,2025-01-16 08:00:00,2025-01-16 19:00:00,-0.7844181703565588,0.08770024207325126
4101872,12,108,119,2025-01-16 20:00:00,2025-01-17 07:00:00,-0.923470622812836,0.23441991488027972
4101872,12,120,131,2025-01-17 08:00:00,2025-01-17 19:00:00,-0.7694161380235901,0.07409616739184216
4101872,12,132,143,2025-01-17 20:00:00,2025-01-18 07:00:00,-0.9416704673291851,0.25618089340950895
4101872,12,144,155,2025-01-18 08:00:00,2025-01-18 19:00:00,-0.6879864585826051,-0.008439207103146494
4101872,12,156,167,2025-01-18 20:00:00,2025-01-19 07:00:00,-0.8696201071653554,0.18097721546735254
4101872,12,168,179,2025-01-19 08:00:00,2025-01-19 19:00:00,-0.8542429300498335,0.16519618482707488
4101872,12,180,191,2025-01-19 20:00:00,2025-01-20 07:00:00,-0.9072179165293364,0.2203941770547937
4101872,12,192,203,2025-01-20 08:00:00,2025-01-20 19:00:00,-0.7369429412427373,0.04128168510190305
4101872,12,204,215,2025-01-20 20:00:00,2025-01-21 07:00:00,-0.9094441773507296,0.2232574006908029
4101872,12,216,227,2025-01-21 08:00:00,2025-01-21 19:00:00,-0.8672267545098417,0.17841632820209033
4101872,12,228,239,2025-01-21 20:00:00,2025-01-22 07:00:00,-0.9231142323350373,0.23738103487867404
4101872,12,240,251,2025-01-22 08:00:00,2025-01-22 19:00:00,-0.8038503734209692,0.11237423230761462
4101872,12,252,263,2025-01-22 20:00:00,2025-01-23 07:00:00,-0.9206942525841473,0.23516892779877732
4101872,12,264,275,2025-01-23 08:00:00,2025-01-23 19:00:00,-0.7028229807476677,0.003699964700725939
4101872,12,276,287,2025-01-23 20:00:00,2025-01-24 07:00:00,-0.9647352535270529,0.2823331622520258
4101872,12,288,299,2025-01-24 08:00:00,2025-01-24 19:00:00,-0.7830640366732272,0.08929311373316542
4101872,12,300,311,2025-01-24 20:00:00,2025-01-25 07:00:00,-0.9170957021110131,0.23134956272279558
4101872,12,312,323,2025-01-25 08:00:00,2025-01-25 19:00:00,-0.7918309771859176,0.09937787098794458
4101872,12,324,335,2025-01-25 20:00:00,2025-01-26 07:00:00,-0.9009466807822103,0.214515339244429
4101872,12,336,347,2025-01-26 08:00:00,2025-01-26 19:00:00,-0.7858795212336498,0.0938611181069463
4101872,12,348,359,2025-01-26 20:00:00,2025-01-27 07:00:00,-0.887333035385323,0.2005883114868825
4101872,12,360,371,2025-01-27 08:00:00,2025-01-27 19:00:00,-0.7132903603727162,0.017632020441124927
4101872,12,372,383,2025-01-27 20:00:00,2025-01-28 07:00:00,-0.883319222369902,0.1968818392224761
4101872,12,384,395,2025-01-28 08:00:00,2025-01-28 19:00:00,-0.7813596845363029,0.09102920631671302
4101872,12,396,407,2025-01-28 20:00:00,2025-01-29 07:00:00,-0.9107073533590583,0.22725269656160943
4101872,12,408,419,2025-01-29 08:00:00,2025-01-29 19:00:00,-0.8043923266672776,0.11295493633198506
4101872,12,420,431,2025-01-29 20:00:00,2025-01-30 07:00:00,-0.9515677971850184,0.26974360866778413
4101872,12,432,443,2025-01-30 08:00:00,2025-01-30 19:00:00,-0.8238621788928874,0.13322228199689296
4101872,12,444,455,2025-01-30 20:00:00,2025-01-31 07:00:00,-0.9064019806673579,0.2212435658292465
4101872,12,456,467,2025-01-31 08:00:00,2025-01-31 19:00:00,-0.8667090656519549,0.1787560198447587
4804126,12,0,11,2025-01-01 08:00:00,2025-01-01 19:00:00,-0.6555114613984425,-0.18024142321022973
4804126,12,12,23,2025-01-01 20:00:00,2025-01-02 07:00:00,-0.811083182720185,-0.01370112661447792
4804126,12,24,35,2025-01-02 08:00:00,2025-01-02 19:00:00,-0.8145181136510524,-0.010015861098344124
4804126,12,36,47,2025-01-02 20:00:00,2025-01-03 07:00:00,-0.8387814372136684,0.015917605013184198
4804126,12,48,59,2025-01-03 08:00:00,2025-01-03 19:00:00,-0.8378994823980003,0.015012588390645058
4804126,12,60,71,2025-01-03 20:00:00,2025-01-04 07:00:00,-0.8257631120616038,0.0019716777455658537
4804126,12,72,83,2025-01-04 08:00:00,2025-01-04 19:00:00,-0.7494994323459281,-0.07964210077298649
4804126,12,84,95,2025-01-04 20:00:00,2025-01-05 07:00:00,-0.8196464845954746,-0.0045746244066034135
4804126,12,96,107,2025-01-05 08:00:00,2025-01-05 19:00:00,-0.6807154754943221,-0.15326379410460875
4804126,12,108,119,2025-01-05 20:00:00,2025-01-06 07:00:00,-0.8233025298320502,-0.000602029513212112
4804126,12,120,131,2025-01-06 08:00:00,2025-01-06 19:00:00,-0.8041733572524671,-0.02105777902264075
4804126,12,132,143,2025-01-06 20:00:00,2025-01-07 07:00:00,-0.8015699361964552,-0.023873146255724564
4804126,12,144,155,2025-01-07 08:00:00,2025-01-07 19:00:00,-0.8272068018331787,0.0035907001849902927
4804126,12,156,167,2025-01-07 20:00:00,2025-01-08 07:00:00,-0.8587991960207751,0.03733963961509415
4804126,12,168,179,2025-01-08 08:00:00,2025-01-08 19:00:00,-0.7705736001346926,-0.05711046079829344
4804126,12,180,191,2025-01-08 20:00:00,2025-01-09 07:00:00,-0.7615666466903221,-0.06674008842991296
4804126,12,192,203,2025-01-09 08:00:00,2025-01-09 19:00:00,-0.7190214205270828,-0.11222756533115294
4804126,12,204,215,2025-01-09 20:00:00,2025-01-10 07:00:00,-0.8030246705469587,-0.022290410066932415
4804126,12,216,227,2025-01-10 08:00:00,2025-01-10 19:00:00,-0.7516621347182457,-0.0772764702414556
4804126,12,228,239,2025-01-10 20:00:00,2025-01-11 07:00:00,-0.837982238394174,0.015096197435394608
4804126,12,240,251,2025-01-11 08:00:00,2025-01-11 19:00:00,-0.7993042443518997,-0.026287384198441264
4804126,12,252,263,2025-01-11 20:00:00,2025-01-12 07:00:00,-0.8206214926689559,-0.0035247257411503245
4804126,12,264,275,2025-01-12 08:00:00,2025-01-12 19:00:00,-0.6166058086858617,-0.22190758024165771
4804126,12,276,287,2025-01-12 20:00:00,2025-01-13 07:00:00,-0.8512617449350849,0.029318893607718638
4804126,12,288,299,2025-01-13 08:00:00,2025-01-13 19:00:00,-0.7026558495096815,-0.12976702103049584
4804126,12,300,311,2025-01-13 20:00:00,2025-01-14 07:00:00,-0.8225316739462308,-0.0014258796847395026
4804126,12,312,323,2025-01-14 08:00:00,2025-01-14 19:00:00,-0.8134670368928596,-0.011109779328806189
4804126,12,324,335,2025-01-14 20:00:00,2025-01-15 07:00:00,-0.8333627430171763,0.010194771940709696
4804126,12,336,347,2025-01-15 08:00:00,2025-01-15 19:00:00,-0.8069922658687326,-0.018033806756700604
4804126,12,348,359,2025-01-15 20:00:00,2025-01-16 07:00:00,-0.8579000659439115,0.036467909499395185
4804126,12,360,371,2025-01-16 08:00:00,2025-01-16 19:00:00,-0.7683266726888401,-0.059433691141888824
4804126,12,372,383,2025-01-16 20:00:00,2025-01-17 07:00:00,-0.8314434204468087,0.008104314339750285
4804126,12,384,395,2025-01-17 08:00:00,2025-01-17 19:00:00,-0.7466268604665554,-0.08270249865705608
4804126,12,396,407,2025-01-17 20:00:00,2025-01-18 07:00:00,-0.8463809165170247,0.024055719751645804
4804126,12,408,419,2025-01-18 08:00:00,2025-01-18 19:00:00,-0.8317641882373185,0.008410307928634592
4804126,12,420,431,2025-01-18 20:00:00,2025-01-19 07:00:00,-0.7977065819359573,-0.028082653202738842
4804126,12,432,443,2025-01-19 08:00:00,2025-01-19 19:00:00,-0.7825407243814534,-0.04429493485761119
4804126,12,444,455,2025-01-19 20:00:00,2025-01-20 07:00:00,-0.8605127459584114,0.03915634158639388
4804126,12,456,467,2025-01-20 08:00:00,2025-01-20 19:00:00,-0.7343152238144621,-0.09593924542927698
4804126,12,468,479,2025-01-20 20:00:00,2025-01-21 07:00:00,-0.8020770330632466,-0.02338726998643395
4804126,12,480,491,2025-01-21 08:00:00,2025-01-21 19:00:00,-0.7608381951167006,-0.06750963133108782
4804126,12,492,503,2025-01-21 20:00:00,2025-01-22 07:00:00,-0.8476339659044828,0.025398655628041993
4804126,12,504,515,2025-01-22 08:00:00,2025-01-22 19:00:00,-0.7837298353459595,-0.0430375572070689
4804126,12,516,527,2025-01-22 20:00:00,2025-01-23 07:00:00,-0.7947466372602947,-0.031218773384876834
4804126,12,528,539,2025-01-23 08:00:00,2025-01-23 19:00:00,-0.6699950453573444,-0.16474211898430038
4804126,12,540,551,2025-01-23 20:00:00,2025-01-24 07:00:00,-0.8501801627910944,0.028144205876815487
4804126,12,552,563,2025-01-24 08:00:00,2025-01-24 19:00:00,-0.6292051881979903,-0.2083916432732072
4804126,12,564,575,2025-01-24 20:00:00,2025-01-25 07:00:00,-0.8320137855795974,0.008727062024120935
4804126,12,576,587,2025-01-25 08:00:00,2025-01-25 19:00:00,-0.7857728698979198,-0.0407786601720428
4804126,12,588,599,2025-01-25 20:00:00,2025-01-26 07:00:00,-0.8255071618669263,0.001726881042250595
4804126,12,600,611,2025-01-26 08:00:00,2025-01-26 19:00:00,-0.7750177120684169,-0.05232053610315563
4804126,12,612,623,2025-01-26 20:00:00,2025-01-27 07:00:00,-0.7754977306469781,-0.05180769898146883
4804126,12,624,635,2025-01-27 08:00:00,2025-01-27 19:00:00,-0.7035984875924515,-0.12875213394050158
4804126,12,636,647,2025-01-27 20:00:00,2025-01-28 07:00:00,-0.7936539048899379,-0.0323362618835289
4804126,12,648,659,2025-01-28 08:00:00,2025-01-28 19:00:00,-0.760682682181009,-0.06761910304892056
4804126,12,660,671,2025-01-28 20:00:00,2025-01-29 07:00:00,-0.8598608048220294,0.03854319273888034
4804126,12,672,683,2025-01-29 08:00:00,2025-01-29 19:00:00,-0.7410915949503549,-0.0886260403240913
4804126,12,684,695,2025-01-29 20:00:00,2025-01-30 07:00:00,-0.8600081884354684,0.03865393971433317
